player,playerLabel,natLabel,posLabel,club,apps,start,end
http://www.wikidata.org/entity/Q28736721,Luis Suárez,Espagne,attaquant,http://www.wikidata.org/entity/Q2714,0.0,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q28736721,Luis Suárez,Colombie,attaquant,http://www.wikidata.org/entity/Q2714,0.0,2017-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q276978,Theo Robinson,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,2.0,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q27787,Johan Cavalli,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,3.0,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28113071,Brandon Mason,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,4.0,2016-07-01T00:00:00Z,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q2824018,Adam Thompson,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,14.0,2010-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2833481,Alexandre Bonnot,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,16.0,1998-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28864269,Rinsola Babajide,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,15.0,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q28864269,Rinsola Babajide,Nigeria,attaquant,http://www.wikidata.org/entity/Q2714,15.0,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2907497,Kevin Hitchcock,Royaume-Uni,gardien de but,http://www.wikidata.org/entity/Q2714,0.0,2001-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q295452,Mart Poom,Estonie,gardien de but,http://www.wikidata.org/entity/Q2714,19.0,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q296207,Chris Eagles,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,17.0,2006-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q296207,Chris Eagles,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,13.0,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q296416,Jermaine Pennant,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,9.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q296416,Jermaine Pennant,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,12.0,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3009858,Cédric Avinel,France,défenseur,http://www.wikidata.org/entity/Q2714,1.0,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3015330,Danny Webber,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,55.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3015330,Danny Webber,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,5.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3016183,Darius Henderson,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,105.0,2005-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3024053,Des Lyttle,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,11.0,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3028768,Jordan Stewart,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,105.0,2005-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3028768,Jordan Stewart,Royaume-Uni,arrière latéral,http://www.wikidata.org/entity/Q2714,105.0,2005-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3035761,Don Cowie,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,88.0,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3098645,Gary Woods,Royaume-Uni,gardien de but,http://www.wikidata.org/entity/Q2714,0.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q310404,Josh McEachran,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,7.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q311334,Younès Kaboul,France,défenseur central,http://www.wikidata.org/entity/Q2714,25.0,2016-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q311334,Younès Kaboul,Maroc,défenseur central,http://www.wikidata.org/entity/Q2714,25.0,2016-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q311709,Les Ferdinand,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,0.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q312937,Angelo Ogbonna,Italie,défenseur central,http://www.wikidata.org/entity/Q2714,6.0,2024-01-01T00:00:00Z,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q314093,Juraj Kucka,Slovaquie,milieu de terrain,http://www.wikidata.org/entity/Q2714,26.0,2021-01-01T00:00:00Z,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q314731,Danny Shittu,Nigeria,défenseur central,http://www.wikidata.org/entity/Q2714,69.0,2006-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q315289,Sebastian Prödl,Autriche,arrière latéral,http://www.wikidata.org/entity/Q2714,77.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3157321,Jack Smith,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,25.0,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3160979,James Chambers,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,90.0,2004-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q316704,Keith Andrews,Irlande,milieu de terrain,http://www.wikidata.org/entity/Q2714,9.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3174771,Patrick Blondeau,France,défenseur,http://www.wikidata.org/entity/Q2714,24.0,2001-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q318539,Sébastien Bassong,France,arrière latéral,http://www.wikidata.org/entity/Q2714,11.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q318539,Sébastien Bassong,Cameroun,arrière latéral,http://www.wikidata.org/entity/Q2714,11.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q327205,Alexander Merkel,Allemagne,milieu de terrain,http://www.wikidata.org/entity/Q2714,11.0,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q327205,Alexander Merkel,Kazakhstan,milieu de terrain,http://www.wikidata.org/entity/Q2714,11.0,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3296946,Douglas Rinaldi,Brésil,milieu de terrain,http://www.wikidata.org/entity/Q2714,7.0,2007-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3296946,Douglas Rinaldi,Brésil,milieu de terrain,http://www.wikidata.org/entity/Q2714,0.0,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3299492,Matt Jackson,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,6.0,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q331908,Stephen Kelly,Irlande,arrière latéral,http://www.wikidata.org/entity/Q2714,13.0,2003-09-01T00:00:00Z,2003-11-01T00:00:00Z
http://www.wikidata.org/entity/Q334484,Gabriel Tamaș,Roumanie,défenseur,http://www.wikidata.org/entity/Q2714,7.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q337448,Henri Lansbury,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,37.0,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q337646,Marco Motta,Italie,arrière latéral,http://www.wikidata.org/entity/Q2714,9.0,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3442759,Ross Jenkins,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,81.0,2008-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q349606,Adam Griffiths,Australie,milieu de terrain,http://www.wikidata.org/entity/Q2714,0.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3500835,Stuart Slater,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,30.0,1996-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q356072,Jay DeMerit,États-Unis,défenseur central,http://www.wikidata.org/entity/Q2714,183.0,2004-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3568289,Will Hoskins,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,60.0,2007-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q358660,Adlène Guedioura,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,17.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q358660,Adlène Guedioura,Algérie,milieu de terrain,http://www.wikidata.org/entity/Q2714,17.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q358660,Adlène Guedioura,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,30.0,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q358660,Adlène Guedioura,Algérie,milieu de terrain,http://www.wikidata.org/entity/Q2714,30.0,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q359377,Hamer Bouazza,France,milieu offensif gauche,http://www.wikidata.org/entity/Q2714,83.0,2003-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q359377,Hamer Bouazza,Algérie,milieu offensif gauche,http://www.wikidata.org/entity/Q2714,83.0,2003-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3618514,Anthony McNamee,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,91.0,2002-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q362843,Aleksandrs Cauņa,Lettonie,attaquant,http://www.wikidata.org/entity/Q2714,5.0,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3645465,Bruce Dyer,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,67.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q364833,Carlos Javier Acuña,Espagne,attaquant,http://www.wikidata.org/entity/Q2714,9.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q364833,Carlos Javier Acuña,Paraguay,attaquant,http://www.wikidata.org/entity/Q2714,9.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q365934,José Manuel Jurado,Espagne,milieu de terrain,http://www.wikidata.org/entity/Q2714,30.0,2015-07-22T00:00:00Z,2016-07-05T00:00:00Z
http://www.wikidata.org/entity/Q367879,Rob Kiernan,Angleterre,défenseur central,http://www.wikidata.org/entity/Q2714,2.0,2008-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q367879,Rob Kiernan,Angleterre,défenseur,http://www.wikidata.org/entity/Q2714,2.0,2008-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3696447,Craig Forsyth,Royaume-Uni,arrière latéral,http://www.wikidata.org/entity/Q2714,24.0,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q370403,Mario Suárez Mata,Espagne,milieu de terrain,http://www.wikidata.org/entity/Q2714,17.0,2016-01-30T00:00:00Z,2017-07-11T00:00:00Z
http://www.wikidata.org/entity/Q372358,Adrian Bakalli,Belgique,milieu de terrain,http://www.wikidata.org/entity/Q2714,2.0,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q373955,Alon Hazan,Israël,milieu de terrain,http://www.wikidata.org/entity/Q2714,32.0,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q373955,Alon Hazan,Israël,ailier,http://www.wikidata.org/entity/Q2714,32.0,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q374317,Carl Dickinson,Royaume-Uni,arrière latéral,http://www.wikidata.org/entity/Q2714,43.0,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q376237,Chris Baird,Royaume-Uni,arrière latéral,http://www.wikidata.org/entity/Q2714,8.0,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q376816,Wayne Brown,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,25.0,2002-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q376816,Wayne Brown,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,11.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q380196,Gavin Hoyte,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q2714,7.0,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q380196,Gavin Hoyte,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,7.0,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q380196,Gavin Hoyte,Trinité-et-Tobago,défenseur central,http://www.wikidata.org/entity/Q2714,7.0,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q380196,Gavin Hoyte,Trinité-et-Tobago,défenseur,http://www.wikidata.org/entity/Q2714,7.0,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3810026,Jordan Parkes,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,1.0,2006-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3850054,Martin Devaney,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,0.0,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3852273,Mat Sadler,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,30.0,2008-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3852273,Mat Sadler,Royaume-Uni,arrière latéral,http://www.wikidata.org/entity/Q2714,30.0,2008-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3934832,Richard Lee,Royaume-Uni,gardien de but,http://www.wikidata.org/entity/Q2714,92.0,2002-01-01T00:00:00Z,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10735,Matěj Vydra,Tchéquie,attaquant,http://www.wikidata.org/entity/Q2714,1.0,2015-07-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10735,Matěj Vydra,Tchéquie,attaquant,http://www.wikidata.org/entity/Q2714,42.0,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10736,Ikechi Anya,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,25.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10736,Ikechi Anya,Royaume-Uni,milieu excentré,http://www.wikidata.org/entity/Q2714,25.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10754,Almen Abdi,Suisse,milieu de terrain,http://www.wikidata.org/entity/Q2714,39.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10754,Almen Abdi,Kosovo,milieu de terrain,http://www.wikidata.org/entity/Q2714,39.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10758,Marco Cassetti,Italie,défenseur,http://www.wikidata.org/entity/Q2714,38.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10758,Marco Cassetti,Italie,défenseur,http://www.wikidata.org/entity/Q2714,38.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10761,Connor Smith,Irlande,milieu de terrain,http://www.wikidata.org/entity/Q2714,8.0,2011-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10764,Jonathan Bond,Royaume-Uni,gardien de but,http://www.wikidata.org/entity/Q2714,22.0,2010-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10767,Tommie Hoban,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,1.0,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10772,Alexandre Geijo,Espagne,attaquant,http://www.wikidata.org/entity/Q2714,20.0,2012-08-09T00:00:00Z,2013-06-30T00:00:00Z
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,Belgique,milieu de terrain,http://www.wikidata.org/entity/Q2714,3.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,République démocratique du Congo,milieu de terrain,http://www.wikidata.org/entity/Q2714,3.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10781,Geoffrey Mujangi Bia,Zaïre,milieu de terrain,http://www.wikidata.org/entity/Q2714,3.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,Argentine,milieu de terrain,http://www.wikidata.org/entity/Q2714,35.0,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10785,Cristian Battocchio,Argentine,milieu de terrain,http://www.wikidata.org/entity/Q2714,22.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,38.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10788,Nathaniel Chalobah,Sierra Leone,milieu de terrain,http://www.wikidata.org/entity/Q2714,38.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10792,Joel Ekstrand,Suède,défenseur central,http://www.wikidata.org/entity/Q2714,32.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,France,arrière latéral,http://www.wikidata.org/entity/Q2714,1.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1153447,Al Bangura,Sierra Leone,milieu de terrain,http://www.wikidata.org/entity/Q2714,62.0,2005-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1155889,André Carrillo,Pérou,milieu excentré,http://www.wikidata.org/entity/Q2714,28.0,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q116602,Carlos Alberto Sánchez Moreno,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,9.0,2021-03-01T00:00:00Z,2021-06-01T00:00:00Z
http://www.wikidata.org/entity/Q116602,Carlos Alberto Sánchez Moreno,Colombie,milieu de terrain,http://www.wikidata.org/entity/Q2714,9.0,2021-03-01T00:00:00Z,2021-06-01T00:00:00Z
http://www.wikidata.org/entity/Q1166685,Darren Ward,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q2714,9.0,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1166685,Darren Ward,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,9.0,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1166685,Darren Ward,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q2714,58.0,1995-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1166685,Darren Ward,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,58.0,1995-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1173037,Josh Walker,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,6.0,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1175700,David Mirfin,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q2714,4.0,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1320504,Samba Diakité,France,milieu de terrain,http://www.wikidata.org/entity/Q2714,6.0,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1320504,Samba Diakité,Mali,milieu de terrain,http://www.wikidata.org/entity/Q2714,6.0,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1345656,Nathan Ellington,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,51.0,2007-01-01T00:00:00Z,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q135314,Gabriel Agbonlahor,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,2.0,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14755604,Kenedy,Brésil,milieu de terrain,http://www.wikidata.org/entity/Q2714,1.0,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14755604,Kenedy,Brésil,milieu excentré,http://www.wikidata.org/entity/Q2714,1.0,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q14947422,Héctor Bellerín,Espagne,arrière latéral,http://www.wikidata.org/entity/Q2714,8.0,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Grèce,défenseur central,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Grèce,défenseur,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Grèce,arrière latéral,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Allemagne,défenseur central,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Allemagne,défenseur,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q161044,José Holebas,Allemagne,arrière latéral,http://www.wikidata.org/entity/Q2714,114.0,2015-01-01T00:00:00Z,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16202368,Uche Ikpeazu,Royaume-Uni,attaquant,http://www.wikidata.org/entity/Q2714,0.0,2013-07-01T00:00:00Z,2016-08-24T00:00:00Z
http://www.wikidata.org/entity/Q16202368,Uche Ikpeazu,Ouganda,attaquant,http://www.wikidata.org/entity/Q2714,0.0,2013-07-01T00:00:00Z,2016-08-24T00:00:00Z
http://www.wikidata.org/entity/Q16203990,Matt Bevans,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,0.0,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16204632,Jack Bonham,Royaume-Uni,gardien de but,http://www.wikidata.org/entity/Q2714,1.0,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16236417,Luke O'Nien,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,1.0,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1646840,Xavier Gravelaine,France,attaquant,http://www.wikidata.org/entity/Q2714,7.0,1999-01-01T00:00:00Z,2000-01-01T00:00:00Z
http://www.wikidata.org/entity/Q168541,Malky Mackay,Royaume-Uni,défenseur central,http://www.wikidata.org/entity/Q2714,52.0,2005-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1700677,Richard Johnson,Australie,milieu de terrain,http://www.wikidata.org/entity/Q2714,242.0,1991-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17198208,Tom James,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,0.0,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1753614,Sam Sodje,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,1.0,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1755683,Nathan Aké,Royaume des Pays-Bas,défenseur,http://www.wikidata.org/entity/Q2714,24.0,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q179457,Oréstis Karnézis,Grèce,gardien de but,http://www.wikidata.org/entity/Q2714,15.0,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1822147,Lewis McGugan,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,40.0,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q182558,Johnnie Jackson,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,15.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1862778,Danny Drinkwater,Royaume-Uni,milieu de terrain,http://www.wikidata.org/entity/Q2714,12.0,2011-01-28T00:00:00Z,2011-05-31T00:00:00Z
http://www.wikidata.org/entity/Q4354550,Jerel Ifil,Royaume-Uni,défenseur,http://www.wikidata.org/entity/Q2714,11.0,2001-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q436237,Joshua King,Norvège,attaquant,http://www.wikidata.org/entity/Q2714,32.0,2021-07-01T00:00:00Z,2022-07-01T00:00:00Z
http://www.wikidata.org/entity/Q436237,Joshua King,Gambie,attaquant,http://www.wikidata.org/entity/Q2714,32.0,2021-07-01T00:00:00Z,2022-07-01T00:00:00Z
http://www.wikidata.org/entity/Q437212,Alexander Kačaniklić,Suède,milieu de terrain,http://www.wikidata.org/entity/Q2714,12.0,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z
